t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed,dr_x,dr_y,divergence_m,slope_gap_mps,cusum_stat,predicted_spoofed
1788014246.9866714,0.0,0.0,0.0,0.0,0,5.264247948681588e-09,-1.7576776470212424e-08,1.8348170959226737e-08,,0.0,0
1788014247.0810745,0.0,0.0,0.0,0.0,0,3.361628265390378e-05,-0.0001126900778169,0.00011759722827450538,,0.0,0
1788014247.2052488,0.0,0.0,0.0,0.0,0,0.0001501800533775,-0.0005027113057192,0.0005246643739862387,,0.0,0
1788014247.2827125,0.0,0.0,0.0,0.0,0,0.0002676539702283,-0.0008951723512393,0.0009343298059048894,,0.0,0
1788014247.3843486,0.0,0.0,0.0,0.0,0,0.0004593648946228,-0.0015352625325277,0.0016025127613205404,,0.0,0
1788014247.4800842,0.0,0.0,0.0,0.0,0,0.0007073706245775,-0.0023632741954213,0.0024668680798249744,,0.0,0
1788014247.5814035,0.0,0.0,0.0,0.0,0,0.0010029340755807,-0.0033502808939276,0.0034971786954882977,,0.0,0
1788014247.7061503,0.0,0.0,0.0,0.0,0,0.0014505123007036,-0.0048454312599,0.005057883947750141,,0.0,0
1788014247.7850025,0.0,0.0,0.0,0.0,0,0.0017766309638801,-0.0059348782121367,0.00619509458965014,,0.0,0
1788014247.8845377,0.0,0.0,0.0,0.0,0,0.0022451136550993,-0.0074995892856043,0.007828433737157399,,0.0,0
1788014247.9819968,0.0,0.0,0.0,0.0,0,0.0027449114167894,-0.0091687587246649,0.009570824167078796,,0.0,0
1788014248.082369,0.0,0.0,0.0,0.0,0,0.0033193974994818,-0.0110873249960234,0.011573554999524187,,0.0,0
1788014248.200972,0.0,0.0,0.0,0.0,0,0.0040509506816714,-0.0135294419290043,0.014122889234701006,,0.0,0
1788014248.2875626,0.0,0.0,0.0,0.0,0,0.0046697959579203,-0.0155944518596874,0.016278633944306155,,0.0,0
1788014248.3869352,0.0,0.0,0.0,0.0,0,0.0053749501156333,-0.0179468009733373,0.01873440028189125,,0.0,0
1788014248.4867785,0.0,0.0,0.0,0.0,0,0.0061819856766502,-0.0206377990850618,0.02154380880860406,,0.0,0
1788014248.5866787,0.0,0.0,0.0,0.0,0,0.0070223383520929,-0.023439637106572,0.024468956324679273,,0.0,0
1788014248.6925192,0.0,0.0,0.0,0.0,0,0.0079407714504564,-0.0265021347090206,0.027666206739693423,,0.0,0
1788014248.782177,0.0,0.0,0.0,0.0,0,0.0088079156198408,-0.0293941531105245,0.03068543000596851,,0.0,0
1788014248.8800907,0.0,0.0,0.0,0.0,0,0.0098162607310984,-0.0327578353297072,0.034196999140701186,,0.0,0
1788014248.9801705,0.0,0.0,0.0,0.0,0,0.0108768696923601,-0.0362966173922256,0.03789130148757358,,0.0,0
1788014249.0843866,0.0,0.0,0.0,0.0,0,0.0120107995951413,-0.040080004130399,0.041840961246217175,,0.0,0
1788014249.204296,0.0,0.0,0.0,0.0,0,0.0133887881917712,-0.0446769900739278,0.04664003742826495,,0.0,0
1788014249.2833388,0.0,0.0,0.0,0.0,0,0.0143663726082468,-0.0479383491874536,0.05004475981296361,,0.0,0
1788014249.3834815,0.0,0.0,0.0,0.0,0,0.0156505942272664,-0.0522227431669928,0.05451748346679473,,0.0,0
1788014249.4820886,0.0,0.0,0.0,0.0,0,0.0169352845921089,-0.0565087237069851,0.05899186146586748,,0.0,0
1788014249.5819356,0.0,0.0,0.0,0.0,0,0.0183010511883057,-0.061065219463574,0.06374864314423831,,0.0,0
1788014249.6969106,0.0,0.0,0.0,0.0,0,0.0199463907876821,-0.0665547971156937,0.0694794899561452,,0.0,0
1788014249.782754,0.0,0.0,0.0,0.0,0,0.0212363925398003,-0.0708590416930326,0.07397288799120538,,0.0,0
1788014249.8870995,0.0,0.0,0.0,0.0,0,0.0228312746516117,-0.0761806127315031,0.07952831482160665,,0.0,0
1788014249.9820082,0.0,0.0,0.0,0.0,0,0.0243187827728026,-0.0811436346629458,0.08470946016747113,,0.0,0
1788014250.087234,0.0,0.0,0.0,0.0,0,0.0260802012377593,-0.0870204063312636,0.09084452660815753,,0.0,0
1788014250.1971846,0.0,0.0,0.0,0.0,0,0.0279401019490416,-0.0932255173217261,0.09732238373995106,,0.0,0
1788014250.2871132,0.0,0.0,0.0,0.0,0,0.029535949933466,-0.0985495303875045,0.10288042708926651,,0.0,0
1788014250.3870857,0.0,0.0,0.0,0.0,0,0.0313434748831293,-0.1045797831071329,0.1091757502950372,,0.0,0
1788014250.4869823,0.0,0.0,0.0,0.0,0,0.0332159705208512,-0.1108267424473303,0.11569730999089366,,0.0,0
1788014250.5870974,0.0,0.0,0.0,0.0,0,0.035123219142524,-0.1171892939848676,0.1223395731053754,,0.0,0
1788014250.7025812,0.0,0.0,0.0,0.0,0,0.03741812346254,-0.1248439126091637,0.13033080402967823,,0.0,0
1788014250.7842448,0.0,0.0,0.0,0.0,0,0.0390764738114402,-0.1303741977714307,0.1361043799812493,,0.0,0
1788014250.8844287,0.0,0.0,0.0,0.0,0,0.041160073872815,-0.1373209078112424,0.1433568394019599,,0.0,0
1788014250.9839213,0.0,0.0,0.0,0.0,0,0.0432546279890696,-0.1443015891403115,0.15064498488463554,,0.0,0
1788014251.0841546,0.0,0.0,0.0,0.0,0,0.0454987737298436,-0.1517776479262335,0.15845060056982807,,0.0,0
1788014251.1961155,0.0,0.0,0.0,0.0,0,0.0479594813883765,-0.1599709791014618,0.16700546700549165,,0.0,0
1788014251.2807837,0.0,0.0,0.0,0.0,0,0.0500075401641247,-0.1667868613810996,0.17412240293145703,,0.0,0
1788014251.3819497,0.0,0.0,0.0,0.0,0,0.0523643317076185,-0.1746260291823457,0.18230818221675887,,0.0,0
1788014251.4831178,0.0,0.0,0.0,0.0,0,0.0547342358954751,-0.1825042731157532,0.1905351576076472,,0.0,0
1788014251.5830238,0.0,0.0,0.0,0.0,0,0.0571876960388747,-0.190655647546475,0.19904775436964975,,0.0,0
1788014251.7009342,0.0,0.0,0.0,0.0,0,0.0602050044070163,-0.2006736489005178,0.20951027640356246,,0.0,0
1788014251.782035,0.0,0.0,0.0,0.0,0,0.0622892877051937,-0.2075895262647656,0.21673340023552023,,0.0,0
1788014251.8868356,0.0,0.0,0.0,0.0,0,0.0650279880940558,-0.2166706049656053,0.22621845700941834,,0.0,0
1788014251.986172,0.0,0.0,0.0,0.0,0,0.0677032028019916,-0.2255345196776702,0.23547726691951604,,0.0,0
1788014252.0879197,0.0,0.0,0.0,0.0,0,0.070462694007722,-0.2346716691754233,0.2450220062778141,,0.0,0
1788014252.198521,0.0,0.0,0.0,0.0,0,0.0735802428519858,-0.2449868088270352,0.255797944943683,,0.0,0
1788014252.2861977,0.0,0.0,0.0,0.0,0,0.0760681889825937,-0.2532135029545431,0.2643926009811961,,0.0,0
1788014252.38707,0.0,0.0,0.0,0.0,0,0.0790103439171525,-0.2629366728675922,0.2745511398347964,,0.0,0
1788014252.487562,0.0,0.0,0.0,0.0,0,0.0820079487217088,-0.2728367618252449,0.284895072363191,,0.0,0
1788014252.5833497,0.0,0.0,0.0,0.0,0,0.0849276920196349,-0.282475598151846,0.2949663988033639,,0.0,0
1788014252.699184,0.0,0.0,0.0,0.0,0,0.0884442187101385,-0.2940794181739425,0.3070913284623507,,0.0,0
1788014252.7842395,0.0,0.0,0.0,0.0,0,0.0911476371147454,-0.302996943371295,0.316409607066456,,0.0,0
1788014252.8846045,0.0,0.0,0.0,0.0,0,0.0943422511126016,-0.3135314715115536,0.32741784308921423,,0.0,0
1788014252.9854834,0.0,0.0,0.0,0.0,0,0.097656537168911,-0.3244571590970661,0.3388351329793912,,0.0,0
1788014253.0849032,0.0,0.0,0.0,0.0,0,0.1010013470560906,-0.3354797635492758,0.3503540264621242,,0.0,0
1788014253.2056968,0.0,0.0,0.0,0.0,0,0.1049675233446724,-0.348544396772969,0.3640073865719584,,0.0,0
1788014253.2812855,0.0,0.0,0.0,0.0,0,0.1076383091452359,-0.3573390462370199,0.3731986060547767,,0.0,0
1788014253.3803551,0.0,0.0,0.0,0.0,0,0.1110689443966721,-0.3686320652166907,0.38500118170638586,,0.0,0
1788014253.480436,0.0,0.0,0.0,0.0,0,0.1145930833915943,-0.3802288049204827,0.3971215416625638,,0.0,0
1788014253.5800648,0.0,0.0,0.0,0.0,0,0.1181502838419743,-0.3919312437221088,0.40935264672101257,,0.0,0
1788014253.6849935,0.0,0.0,0.0,0.0,0,0.1218140517107051,-0.4039816496760371,0.4219476702971006,,0.0,0
1788014253.781686,0.0,0.0,0.0,0.0,0,0.1255644866193986,-0.4163152268081528,0.434838830340986,,0.0,0
1788014253.8827906,0.0,0.0,0.0,0.0,0,0.1293455039428779,-0.4287475961146763,0.44783340715532893,,0.0,0
1788014253.9883368,0.0,0.0,0.0,0.0,0,0.1332976334167733,-0.4417410198239167,0.4614145507779165,,0.0,0
1788014254.0866303,0.0,0.0,0.0,0.0,0,0.1371773081268578,-0.4544949389565109,0.47474547222908137,,0.0,0
1788014254.2106693,0.0,0.0,0.0,0.0,0,0.1419427781962974,-0.470158273200646,0.49111765814425423,,0.0,0
1788014254.2837117,0.0,0.0,0.0,0.0,0,0.1448685853435089,-0.4797738198586051,0.5011684599425096,,0.0,0
1788014254.387558,0.0,0.0,0.0,0.0,0,0.1489837249746113,-0.4932966435746462,0.5153035308139486,,0.0,0
1788014254.4859846,0.0,0.0,0.0,0.0,0,0.1530223299840486,-0.506566926806963,0.5291747204925781,,0.0,0
1788014254.5845237,0.0,0.0,0.0,0.0,0,0.157123218373173,-0.5200416666765945,0.5432596440301027,,0.0,0
1788014254.707276,0.0,0.0,0.0,0.0,0,0.1623205311828943,-0.5371197579821949,0.5611110311322961,,0.0,0
1788014254.7834167,0.0,0.0,0.0,0.0,0,0.1654618464413021,-0.5474427991868207,0.5719014259549164,,0.0,0
1788014254.8868003,0.0,0.0,0.0,0.0,0,0.1698713688687234,-0.5619347372112865,0.5870493427694571,,0.0,0
1788014254.9874551,0.0,0.0,0.0,0.0,0,0.174399785308157,-0.576819895342409,0.6026080623243925,,0.0,0
1788014255.0861404,0.0,0.0,0.0,0.0,0,0.1787251896673688,-0.5910395892603834,0.6174710434463463,,0.0,0
1788014255.206062,0.0,0.0,0.0,0.0,0,0.1840395852459307,-0.6085129731288476,0.6357346989142592,,0.0,0
1788014255.2856026,0.0,0.0,0.0,0.0,0,0.1874872650453932,-0.6198505315346907,0.6475848639352529,,0.0,0
1788014255.3813007,0.0,0.0,0.0,0.0,0,0.1920735377509551,-0.6349342383741559,0.6633503832545339,,0.0,0
1788014255.486369,0.0,0.0,0.0,0.0,0,0.1968784961070236,-0.6507393591953768,0.6798697344604869,,0.0,0
1788014255.582958,0.0,0.0,0.0,0.0,0,0.2015182579416501,-0.6660024668694183,0.6958224587924624,,0.0,0
1788014255.7082944,0.0,0.0,0.0,0.0,0,0.2071986056917908,-0.6846903379773348,0.7153545422516999,,0.0,0
1788014255.7835996,0.0,0.0,0.0,0.0,0,0.2109018612052519,-0.6968745630599337,0.7280891097247731,,0.0,0
1788014255.8822925,0.0,0.0,0.0,0.0,0,0.215734733139073,-0.7127769855189325,0.7447096791153205,,0.0,0
1788014255.9814315,0.0,0.0,0.0,0.0,0,0.2205706593653489,-0.7286919895411849,0.7613431758375162,,0.0,0
1788014256.0887747,0.0,0.0,0.0,0.0,0,0.2258254594905753,-0.7459887407521786,0.7794205151798037,,0.0,0
1788014256.2158391,0.0,0.0,0.0,0.0,0,0.2322131236820702,-0.7670193324513777,0.8013997698803896,,0.0,0
1788014256.286862,0.0,0.0,0.0,0.0,0,0.2357111626356647,-0.7785383030647353,0.8134381608518095,,0.0,0
1788014256.3849766,0.0,0.0,0.0,0.0,0,0.240647438485181,-0.794796460477418,0.8304291681034036,,0.0,0
1788014256.4849143,0.0,0.0,0.0,0.0,0,0.2458531250514699,-0.811946082171641,0.848351459862863,,0.0,0
1788014256.58699,0.0,0.0,0.0,0.0,0,0.2510948660790356,-0.8292180844568033,0.8664013292703671,,0.0,0
1788014256.7046528,0.0,0.0,0.0,0.0,0,0.2573672859791668,-0.8498913455392082,0.8880051909278054,,0.0,0
1788014257.1309843,0.0,0.0,0.0,0.0,0,0.2805594959628294,-0.9264043676944828,0.9679559304319238,,0.0,0
1788014257.159206,0.0,0.0,0.0,0.0,0,0.2819629964471441,-0.931035455072786,0.9727950195020747,,0.0,0
1788014257.231083,0.0,0.0,0.0,0.0,0,0.2864782268876806,-0.9459367952528818,0.9883654157719207,,0.0,0
1788014257.330273,0.0,0.0,0.0,0.0,0,0.2919406454529747,-0.9639687875906764,1.0072066143133385,,0.0,0
1788014257.4503584,0.0,0.0,0.0,0.0,0,0.2986272899132872,-0.98604901515597,1.0302771076613382,,0.0,0
1788014257.531833,0.0,0.0,0.0,0.0,0,0.3035085296355976,-1.002172772792396,1.0471235333464537,,0.0,0
