velocity_profile,attack_type,status,flight_duration_s,imu_sample_rate_hz,max_displacement_m,dr_drift_mean_m,dr_drift_max_m,attack_start_t_s,tp,fp,fn,tn,precision,recall,f1,detection_latency_s,jump_alarm_fired,dr_drift_final_m,identical_to_naive_rule,fp_note,jump_alarm_first_t_s,calib_jump_max_m,jump_threshold_m,cusum_baseline_gap_mps,cusum_h,trust_weighted_error_mean,trust_weighted_error_max,trust_weighted_error_final,hard_switch_error_mean,hard_switch_error_max,hard_switch_error_final,gps_only_error_mean,gps_only_error_max,gps_only_error_final,dr_only_error_mean,dr_only_error_max,dr_only_error_final,trust_weighted_max_jump_m,hard_switch_max_jump_m,pre_attack_trust_weighted_error_mean,pre_attack_gps_only_error_mean,pre_attack_reanchoring_delta_m,trust_weighted_beats_gps_only
aggressive,intermittent,OK,79.72,49.0,38.09,11.926,33.965,31.9,275,157,39,315,0.637,0.876,0.737,4.1,True,33.965,False,"157 FPs, offset range [8.00..47.82]s from attack start",1790036688.17,0.1112,2.5,0.093,0.1860612676742353,2.168553021099609,17.94530189783605,0.0,10.66947171926832,33.89286563055245,33.89286563055245,5.288596183522945,26.374880906902288,0.0,11.93006628268908,33.89286563055245,33.89286563055245,0.5750080541720942,9.149128256939424,0.4301745386325377,0.0,0.4301745386325377,True
circular,slow_drift,OK,92.21,49.1,30.86,16.19,44.227,27.7,293,0,343,275,1.0,0.461,0.631,34.9,False,44.227,False,none,,0.0432,1.2969,0.1055,0.2110953962794098,5.32022230971779,11.44290334014909,11.44290334014909,12.363421507281991,44.20782954839385,44.20782954839385,6.764183477789735,19.469223938030783,19.469223938030783,16.191479564830026,44.20782954839385,44.20782954839385,0.391755984098481,22.694251650279284,0.0,0.0,0.0,True
circular,fast_drift,OK,92.47,49.3,30.91,24.344,63.143,55.5,208,0,156,550,1.0,0.571,0.727,15.82,False,63.143,False,none,,0.0666,1.9975,0.1469,0.2937638311960162,6.257105616015791,24.137053127246773,24.137053127246773,13.305013180239616,63.11704865023702,63.11704865023702,8.871284321573539,44.42153933926781,44.42153933926781,24.37457057770412,63.11704865023702,63.11704865023702,0.4338503368342778,39.13163892986939,0.0,0.0,0.0,True
circular,sudden_jump,OK,92.44,49.2,30.87,25.223,65.255,37.0,545,0,0,367,1.0,1.0,1.0,0.0,True,65.255,True,none,1790036993.43,0.064,1.9203,0.1493,0.2985205635418638,31.82330267313347,125.5718689665704,125.5718689665704,22.99502126118477,65.17844115364997,65.17844115364997,2.986897015901914,5.165720505636996,5.018909975733709,25.124152588372127,65.17844115364997,65.17844115364997,5.276079564456815,16.60384285351151,0.0,0.0,0.0,False
circular,intermittent,OK,93.02,49.3,30.86,25.666,60.062,37.2,313,156,77,368,0.667,0.803,0.729,8.0,True,60.062,False,"156 FPs, offset range [8.00..47.82]s from attack start",1790037108.65,0.2939,2.5,0.1603,0.3205893491715405,9.806323789162326,33.45262833111086,33.45262833111086,21.81746086513987,60.00782595149408,60.00782595149408,7.216581093438817,33.45262833111086,33.45262833111086,25.63368814562224,60.00782595149408,60.00782595149408,0.7175337880688535,21.400548732320598,4.365200221061308,0.0,4.365200221061308,False
figure_eight,slow_drift,OK,130.14,49.3,30.86,16.071,33.444,39.0,0,0,896,385,0.0,0.0,0.0,,False,33.444,False,none,,0.0905,2.5,0.0755,0.1509736871269715,9.597017342700186,27.340889596386997,27.2616052911596,9.553179067704312,27.340889596386997,27.2616052911596,9.553179067704312,27.340889596386997,27.2616052911596,16.0660437401821,33.421531095224985,33.421531095224985,,,0.1480057199015681,0.0,0.1480057199015681,False
figure_eight,fast_drift,OK,131.05,48.8,30.94,27.127,70.976,78.6,517,473,0,304,0.522,1.0,0.686,0.0,False,70.976,False,"473 FPs, offset range [-47.93..-0.12]s from attack start",,0.1353,2.5,0.0849,0.1697732763653137,85.16989098662665,212.7074463377078,212.7074463377078,26.85375334344191,70.97595702961857,70.97595702961857,12.550665518541669,62.895606616437504,62.895606616437504,27.2629389524225,70.97595702961857,70.97595702961857,0.384037305769953,6.17419385259298,34.38552535944691,0.0,34.38552535944691,False
figure_eight,sudden_jump,OK,130.95,48.8,30.91,14.497,32.593,52.4,776,0,0,519,1.0,1.0,1.0,0.0,True,32.593,True,none,1790037514.85,0.0602,1.8049,0.1387,0.2773937353731591,38.74482605160202,146.02308120531598,146.02308120531598,11.806086947085548,32.577133265721685,32.577133265721685,2.995248610811488,5.165720505636994,4.9150674943506765,14.507244511450162,32.577133265721685,32.577133265721685,0.7036751841546716,15.808921740623942,0.0001287430747088,0.0,0.0001287430747088,False
figure_eight,intermittent,OK,131.85,48.7,30.92,46.919,114.438,52.7,548,381,0,373,0.59,1.0,0.742,0.0,True,114.438,False,"381 FPs, offset range [-15.00..71.62]s from attack start",1790037668.28,0.1789,2.5,0.1504,0.3007461735453444,9.347826324150288,63.27487019012859,6.988713647870375,45.41496565398121,114.43798968719813,114.43798968719813,9.955631516246855,47.47305916388503,47.47305916388503,46.948927355123296,114.43798968719813,114.43798968719813,0.3052344294924521,16.39699800606446,5.767034284863691,0.0,5.767034284863691,True
sustained_cruise,slow_drift,OK,93.04,48.8,84.34,23.663,69.614,27.9,616,0,28,276,1.0,0.957,0.978,2.8,False,69.614,False,none,,0.1593,2.5,0.1037,0.207436720662742,40.4183005535935,118.88755188650708,118.88755188650708,22.93064558150437,69.6140741987689,69.6140741987689,6.836013984991475,19.517793180226167,19.48317004528082,23.694619471982644,69.6140741987689,69.6140741987689,0.3134804871809099,7.893482913780132,0.0,0.0,0.0,False
sustained_cruise,fast_drift,OK,92.64,48.8,84.26,28.223,84.803,55.6,361,0,6,549,1.0,0.984,0.992,0.59,False,84.803,False,none,,0.1838,2.5,0.1217,0.2433357750781197,17.74811785823533,88.61153963233711,88.61153963233711,22.171437662522173,84.8033958789157,84.8033958789157,8.908520163129596,44.48485747511325,44.48485747511325,28.24548273886385,84.8033958789157,84.8033958789157,0.4742571676488558,31.96132875306827,0.0001375144246888,0.0,0.0001375144246888,False
sustained_cruise,sudden_jump,OK,91.91,49.2,84.27,28.47,76.211,36.8,542,0,0,361,1.0,1.0,1.0,0.0,True,76.211,True,none,1790075457.57,0.1633,2.5,0.1373,0.274672858425108,41.71897137800141,142.89436952080763,142.89436952080763,26.643511352850744,76.18582613505913,76.18582613505913,3.0001548126846185,5.165720505636996,5.019503427810029,28.469759066476808,76.18582613505913,76.18582613505913,0.7737917298921642,14.61165061918041,0.0,0.0,0.0,False
sustained_cruise,intermittent,OK,151.45,49.0,84.15,61.543,185.368,60.6,614,538,0,335,0.533,1.0,0.695,0.0,True,185.368,False,"538 FPs, offset range [-26.41..83.93]s from attack start",1790075594.42,0.1302,2.5,0.1073,0.2145222669061038,12.92477364257933,98.07584506163238,8.054686969873204,61.163185815100775,185.3233604832379,185.3233604832379,11.186593120745064,54.53566581151354,54.53566581151354,61.85212497030837,185.3233604832379,185.3233604832379,0.3116960004786051,9.401300381956034,11.735009122906968,0.0,11.735009122906968,False
