t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,predicted_spoofed,is_spoofed
1790035782.513861,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1790035782.520718,0.0,0.0,1.1926558173360205e-08,-3.514802951102671e-09,0.0,0.0,0,0
1790035782.6202016,0.0,0.0,1.1525656638180128e-05,-3.72561747269998e-06,0.0,0.0,0,0
1790035782.719968,0.0,0.0,4.083150323561854e-05,-1.2750966443674244e-05,0.0,0.0,0,0
1790035782.8186738,0.0,0.0,8.73449179309342e-05,-2.6814608470192865e-05,0.0,0.0,0,0
1790035782.9179733,0.0,0.0,0.0001529219739495,-4.576569232999818e-05,0.0,0.0,0,0
1790035783.0167978,0.0,0.0,0.00023566339581,-6.951825579020661e-05,0.0,0.0,0,0
1790035783.121217,0.0,0.0,0.0003429175804999,-9.981980145527345e-05,0.0,0.0,0,0
1790035783.2210138,0.0,0.0,0.0004655346193741,-0.0001344291698463,0.0,0.0,0,0
1790035783.3196251,0.0,0.0,0.0006046471611564,-0.0001732892528583,0.0,0.0,0,0
1790035783.4188757,0.0,0.0,0.0007629645677224,-0.000217656720605,0.0,0.0,0,0
1790035783.5185213,0.0,0.0,0.0009388575507344,-0.0002672428625463,0.0,0.0,0,0
1790035783.620938,0.0,0.0,0.0011393988540961,-0.0003247851696117,0.0,0.0,0,0
1790035783.721161,0.0,0.0,0.0013544571487272,-0.0003871931448735,0.0,0.0,0,0
1790035783.8195505,0.0,0.0,0.0015826683650386,-0.0004542735194848,0.0,0.0,0,0
1790035783.9190545,0.0,0.0,0.0018328640107627,-0.0005280863974671,0.0,0.0,0,0
1790035784.0157273,0.0,0.0,0.002091338334591,-0.0006047003701804,0.0,0.0,0,0
1790035784.1205778,0.0,0.0,0.0023927160320201,-0.0006941203309884,0.0,0.0,0,0
1790035784.2188623,0.0,0.0,0.0026919309927916,-0.0007834329700862,0.0,0.0,0,0
1790035784.319401,0.0,0.0,0.0030162196379022,-0.000880698757592,0.0,0.0,0,0
1790035784.4200294,0.0,0.0,0.003360550549181,-0.0009846623124362,0.0,0.0,0,0
1790035784.5167212,0.0,0.0,0.0037108221868926,-0.0010905099262418,0.0,0.0,0,0
1790035784.6203012,0.0,0.0,0.0040998391471164,-0.0012083950297165,0.0,0.0,0,0
1790035784.720011,0.0,0.0,0.0044954562573193,-0.0013280405888593,0.0,0.0,0,0
1790035784.820294,0.0,0.0,0.0049132202886616,-0.0014546813429686,0.0,0.0,0,0
1790035784.9196928,0.0,0.0,0.0053449946105977,-0.0015855903332079,0.0,0.0,0,0
1790035785.0238974,0.0,0.0,0.0058077183587844,-0.0017260625362311,0.0,0.0,0,0
1790035785.1206276,0.0,0.0,0.0062685628372631,-0.0018656882255752,0.0,0.0,0,0
1790035785.2205725,0.0,0.0,0.006755701841747,-0.0020131857499694,0.0,0.0,0,0
1790035785.3195248,0.0,0.0,0.0072569095562412,-0.0021646919984987,0.0,0.0,0,0
1790035785.420127,0.0,0.0,0.0077815176314676,-0.0023233544341012,0.0,0.0,0,0
1790035785.52021,0.0,0.0,0.0083174224764416,-0.0024853504843037,0.0,0.0,0,0
1790035785.620383,0.0,0.0,0.0088764437022884,-0.0026546963454065,0.0,0.0,0,0
1790035785.7219348,0.0,0.0,0.009463557258028,-0.0028325065347187,0.0,0.0,0,0
1790035785.8218892,0.0,0.0,0.0100521968423104,-0.0030110326461871,0.0,0.0,0,0
1790035785.922186,0.0,0.0,0.0106643020389885,-0.0031965685177756,0.0,0.0,0,0
1790035786.0219164,0.0,0.0,0.0112922047963152,-0.0033869875977646,0.0,0.0,0,0
1790035786.117698,0.0,0.0,0.0119080068637033,-0.0035734324372932,0.0,0.0,0,0
1790035786.2177343,0.0,0.0,0.0125682133247471,-0.0037734818840391,0.0,0.0,0,0
1790035786.3184252,0.0,0.0,0.0132507125954979,-0.0039801979202095,0.0,0.0,0,0
1790035786.4173446,0.0,0.0,0.0139444325874102,-0.0041905051325609,0.0,0.0,0,0
1790035786.5183516,0.0,0.0,0.0146612668433301,-0.0044074280094458,0.0,0.0,0,0
1790035786.6194549,0.0,0.0,0.0153966210360302,-0.0046299804636705,0.0,0.0,0,0
1790035786.7201989,0.0,0.0,0.0161507862393469,-0.0048578485762588,0.0,0.0,0,0
1790035786.81977,0.0,0.0,0.016913062921873,-0.0050883249917188,0.0,0.0,0,0
1790035786.9199078,0.0,0.0,0.0176978617487551,-0.005325768191568,0.0,0.0,0,0
1790035787.022431,0.0,0.0,0.0185131010447285,-0.0055729848141068,0.0,0.0,0,0
1790035787.122234,0.0,0.0,0.0193263429226057,-0.0058199556882406,0.0,0.0,0,0
1790035787.215546,0.0,0.0,0.0201042853222919,-0.0060570498210001,0.0,0.0,0,0
1790035787.3202777,0.0,0.0,0.0209910650977099,-0.0063280724455496,0.0,0.0,0,0
1790035787.41951,0.0,0.0,0.0218451576867746,-0.0065901225953088,0.0,0.0,0,0
1790035787.521323,0.0,0.0,0.0227354229558073,-0.0068637838020895,0.0,0.0,0,0
1790035787.6189592,0.0,0.0,0.0236048313965557,-0.0071315487988941,0.0,0.0,0,0
1790035787.718385,0.0,0.0,0.0245103796980969,-0.0074104733771003,0.0,0.0,0,0
1790035787.8185594,0.0,0.0,0.0254359532671824,-0.0076957618692185,0.0,0.0,0,0
1790035787.9208095,0.0,0.0,0.0264038473144702,-0.0079940894140362,0.0,0.0,0,0
1790035788.0186756,0.0,0.0,0.027338673180881,-0.0082826371856379,0.0,0.0,0,0
1790035788.1183178,0.0,0.0,0.0283082436927786,-0.0085819237076383,0.0,0.0,0,0
