t,x_m,y_m
1790036493.175601,0.009078401996031955,29.099047999934555
1790036493.2574544,0.027235200827622954,29.32168800016342
1790036493.3581324,0.04539199965921395,29.533195999471218
1790036493.4594924,0.09078400189866435,29.733571999439903
1790036493.5608714,0.1543328003894693,29.911683999939385
1790036493.672798,0.2360384002921017,30.06753199938771
1790036493.7618425,0.35405760043815254,30.223379999627014
1790036493.8615534,0.4902335994157944,30.368095999736227
1790036493.9578805,0.6445663972250273,30.49054799958526
1790036494.0581727,0.8261343958618831,30.59073599996509
1790036494.1805074,1.0167807964947708,30.679791999423855
1790036494.2595148,1.2074271945474222,30.735452000074304
1790036494.3595605,1.416230394011901,30.768847999673596
1790036494.4592538,1.6341119928921752,30.779979999803686
1790036494.559369,1.8701503906040404,30.779979999803686
1790036494.681726,2.1152671903119376,30.757715999543507
1790036494.76085,2.3876191882672213,30.735452000074304
1790036494.860879,2.687206387050128,30.702055999684035
1790036494.9613729,3.004950387244862,30.668660000084742
1790036495.0623794,3.349929585686983,30.657527999954652
1790036495.177244,3.713065582960694,30.646395999824563
1790036495.2581024,4.112515180477824,30.635263999694473
1790036495.3577583,4.52104317741075,30.624131999564383
1790036495.4594543,4.956806375171299,30.612999999434294
1790036495.560122,5.410726374343675,30.612999999434294
1790036495.6792076,5.864646370935814,30.612999999434294
1790036495.7609289,6.327644769523985,30.60186800009518
1790036495.8577616,6.7997215675279525,30.60186800009518
1790036495.9583974,7.262719966116124,30.60186800009518
1790036496.059527,7.743875163535886,30.59073599996509
1790036496.1745207,8.215951958959616,30.59073599996509
1790036496.2609465,8.697107158959616,30.579603999835
1790036496.361399,9.178262356379378,30.579603999835
1790036496.4610918,9.668495953214936,30.56847199970491
1790036496.5607784,10.149651150634698,30.557339999574822
1790036496.672335,10.639884747470257,30.546207999444732
1790036496.7619345,11.130118346886052,30.546207999444732
1790036496.8607228,11.620351943721609,30.53507600010562
1790036496.959899,12.119663939972963,30.52394399997553
1790036497.0597858,12.609897539388756,30.51281199984544
1790036497.1808977,13.10920953564011,30.50167999971535
1790036497.2606697,13.6085215344717,30.49054799958526
1790036497.3607275,14.11691193013885,30.47941599945517
1790036497.4603696,14.61622392897044,30.468284000116057
1790036497.5595284,15.124614324637587,30.457151999985967
1790036497.6720948,15.633004722884973,30.446019999855878
1790036497.7589312,16.14139512113236,30.434887999725788
1790036497.858894,16.649785519379744,30.4237559995957
1790036497.9589236,17.16725431446269,30.4237559995957
1790036498.06157,17.675644712710074,30.41262399946561
1790036498.1661203,18.18403511095746,30.401492000126495
1790036498.261762,18.67426870779302,30.390359999996406
1790036498.360313,19.146345505796983,30.379227999866316
1790036498.4611022,19.600265502389124,30.379227999866316
1790036498.5616145,20.03602870014967,30.368095999736227
1790036498.6740792,20.435478300247038,30.356963999606137
1790036498.7611036,20.807692696936545,30.356963999606137
1790036498.8587155,21.152671895378667,30.345831999476047
1790036498.9589884,21.470415892993163,30.345831999476047
1790036499.0593283,21.770003091776072,30.334700000136934
1790036499.1811233,22.03327669031556,30.334700000136934
1790036499.263655,22.278393490023458,30.323568000006844
1790036499.3585818,22.487196689487934,30.312435999876755
1790036499.4593625,22.677843087540587,30.312435999876755
1790036499.5600169,22.850332686761647,30.301303999746665
1790036499.6802862,22.986508685739288,30.301303999746665
1790036499.7593937,23.095449486469544,30.290171999616575
1790036499.8617136,23.186233485787973,30.290171999616575
1790036499.961546,23.24070388486298,30.279039999486486
1790036500.0623572,23.2770174851064,30.279039999486486
1790036500.1794777,23.286095884522194,30.267908000147372
1790036500.2622492,23.258860686274808,30.267908000147372
1790036500.3620274,23.213468686615595,30.256776000017283
1790036500.463721,23.158998284960347,30.245643999887193
1790036500.5618913,23.077292685057717,30.223379999627014
1790036500.681727,22.986508685739288,30.17885199989763
1790036500.7622569,22.886646287005064,30.13432400016825
1790036500.863282,22.777705488855048,30.056400000048598
1790036500.963684,22.659686288708997,29.956211999668767
1790036501.0590065,22.523510289731355,29.833759999819733
1790036501.1662912,22.37825588875768,29.70017599984061
1790036501.2631938,22.21484469153265,29.533195999471218
1790036501.3627243,22.024198290899765,29.355083999762712
1790036501.4635804,21.824473493431316,29.154707999794027
1790036501.86387,21.370553494258942,28.72055999946639
1790036501.9331644,20.725987097033915,28.07490399983095
1790036501.9686804,20.562575899808884,27.93018799972174
1790036502.0686965,20.290223899273364,27.651887999633402
1790036502.17812,20.008793501902286,27.373587999545066
1790036502.267694,19.72736310195097,27.09528799945673
1790036502.368467,19.445932704579892,26.81698800015937
1790036502.469487,19.182659106040404,26.549819999410147
1790036502.565971,18.92846390691671,26.30491599971208
1790036502.6761858,18.683347107208814,26.071144000144102
1790036502.7676914,18.46546550832854,25.859636000045327
1790036502.867886,18.256662311444295,25.659260000076642
1790036502.9648757,18.075094310227204,25.49227999970725
1790036503.0658422,17.911683113002177,25.347563999598037
1790036503.1786046,17.766428712028503,25.213979999618914
1790036503.2661843,17.639331112466657,25.10265999989997
1790036503.3662395,17.521311914900842,25.01360399965023
1790036503.4685864,17.430527915582413,24.946811999660667
1790036503.5692866,17.357900715095578,24.891151999801195
1790036503.6768043,17.294351914024535,24.846624000071813
1790036503.7653794,17.239881514949527,24.813227999681544
