t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed,dr_x,dr_y,divergence_m,slope_gap_mps,cusum_stat,jump_delta_m,jump_alarm,predicted_spoofed
1789855926.4323387,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,0
1789855926.435202,0.0,0.0,0.0,0.0,0,-1.5833843576434031e-09,-3.981853817217067e-09,4.285121450521086e-09,,0.0,4.285121450521086e-09,0,0
1789855926.5344648,0.0,0.0,0.0,0.0,0,-3.27341269293932e-05,-8.211364458839642e-05,8.839781498102264e-05,,0.0,8.839352986114986e-05,0,0
1789855926.633607,0.0,0.0,0.0,0.0,0,-0.000131133568215,-0.0003291453723923,0.00035430592555031295,,0.0,0.00026590811305242547,0,0
1789855926.738403,0.0,0.0,0.0,0.0,0,-0.0003427878137461,-0.0008615510465846,0.0009272398239527089,,0.0,0.0005729339591641402,0,0
1789855926.8379414,0.0,0.0,0.0,0.0,0,-0.0005880696704546,-0.0014800722239811,0.0015926203959226886,,0.0,0.0006653808203715536,0,0
1789855926.936789,0.0,0.0,0.0,0.0,0,-0.0008947573001641,-0.0022540972662838,0.0024251897064075318,,0.0,0.0008325695576518085,0,0
1789855927.0360289,0.0,0.0,0.0,0.0,0,-0.0012683610111752,-0.0031975261576114,0.003439900170539619,,0.0,0.001014710700580658,0,0
1789855927.1350873,0.0,0.0,0.0,0.0,0,-0.001622650093963,-0.0040928467420665,0.00440277046659061,,0.0,0.0009628705536735675,0,0
1789855927.2343242,0.0,0.0,0.0,0.0,0,-0.002221158720503,-0.0056070447907727,0.006030961560762744,,0.0,0.0016281917291119192,0,0
1789855927.3365538,0.0,0.0,0.0,0.0,0,-0.0027871401110917,-0.0070407341062608,0.007572323735414402,,0.0,0.0015413630292171459,0,0
1789855927.4350586,0.0,0.0,0.0,0.0,0,-0.0033011586915011,-0.008344225666972,0.008973502698936887,,0.0,0.001401179984816874,0,0
1789855927.5341814,0.0,0.0,0.0,0.0,0,-0.003984386275304,-0.0100782325586855,0.01083725544119817,,0.0,0.0018637542305194267,0,0
1789855927.6389384,0.0,0.0,0.0,0.0,0,-0.0049292865292686,-0.0124784715278852,0.013416784911440986,,0.0,0.002579531662765008,0,0
1789855927.734096,0.0,0.0,0.0,0.0,0,-0.0055545761935219,-0.0140677725749639,0.015124666671055819,,0.0,0.0017078831875943555,0,0
1789855927.8389666,0.0,0.0,0.0,0.0,0,-0.0066488141052188,-0.0168512206319152,0.01811547310426203,,0.0,0.002990809203734127,0,0
1789855927.9380178,0.0,0.0,0.0,0.0,0,-0.0076016079148185,-0.0192768289936067,0.020721500402707017,,0.0,0.0026060299246016393,0,0
1789855928.0372002,0.0,0.0,0.0,0.0,0,-0.0086227985011562,-0.0218785967623873,0.02351649740677139,,0.0,0.002795000131715617,0,0
1789855928.1364377,0.0,0.0,0.0,0.0,0,-0.009695469686371,-0.0246130996512965,0.02645386185198658,,0.0,0.002937367787840481,0,0
1789855928.2356017,0.0,0.0,0.0,0.0,0,-0.0108435053445152,-0.0275411472064222,0.029598925615676442,,0.0,0.003145067305710354,0,0
1789855928.3346865,0.0,0.0,0.0,0.0,0,-0.0118325649307277,-0.0300647180502096,0.0323093928181649,,0.0,0.0027104701932861566,0,0
1789855928.4338486,0.0,0.0,0.0,0.0,0,-0.0130918071993273,-0.0332787555399762,0.035761305709297794,,0.0,0.0034519165801990444,0,0
1789855928.5385969,0.0,0.0,0.0,0.0,0,-0.0147346649971441,-0.0374741430024374,0.04026688150757631,,0.0,0.0045055807288321955,0,0
1789855928.6377935,0.0,0.0,0.0,0.0,0,-0.0161410364630085,-0.041068350798739,0.04412643760183294,,0.0,0.0038595609054648703,0,0
1789855928.7370014,0.0,0.0,0.0,0.0,0,-0.0176007425274265,-0.0448009727067371,0.048134325517104344,,0.0,0.0040078932249457515,0,0
1789855928.8361008,0.0,0.0,0.0,0.0,0,-0.0191288376354007,-0.0487104133928676,0.052331795327368404,,0.0,0.004197475567217419,0,0
1789855928.9350324,0.0,0.0,0.0,0.0,0,-0.0204272843952341,-0.0520333723233017,0.05589942560616445,,0.0,0.0035676350768364166,0,0
1789855929.034391,0.0,0.0,0.0,0.0,0,-0.0220760732122234,-0.0562542497738726,0.06043089959691724,,0.0,0.00453148000279896,0,0
1789855929.1392536,0.0,0.0,0.0,0.0,0,-0.024188806668363,-0.0616652027177535,0.06623968292693645,,0.0,0.005808791132205131,0,0
1789855929.2384226,0.0,0.0,0.0,0.0,0,-0.0259775049154056,-0.0662471530090698,0.07115838702104643,,0.0,0.004918710185716053,0,0
1789855929.3375616,0.0,0.0,0.0,0.0,0,-0.0278247646990497,-0.0709794475807064,0.07623843852952217,,0.0,0.0050800571474157695,0,0
1789855929.4367518,0.0,0.0,0.0,0.0,0,-0.0297363921038873,-0.0758771565435582,0.08149598702078384,,0.0,0.005257553843730465,0,0
1789855929.5359955,0.0,0.0,0.0,0.0,0,-0.0317050304151193,-0.0809209352415781,0.08691033721022672,,0.0,0.005414355026690599,0,0
1789855929.635137,0.0,0.0,0.0,0.0,0,-0.0333780051952337,-0.085207491275432,0.09151179049863394,,0.0,0.004601457078607614,0,0
1789855929.734236,0.0,0.0,0.0,0.0,0,-0.035466932845712,-0.0905610186213941,0.0972584259549101,,0.0,0.005746640216065095,0,0
1789855929.8390572,0.0,0.0,0.0,0.0,0,-0.0381342956131132,-0.0973992601401802,0.10459847215788001,,0.0,0.00734005253401965,0,0
1789855929.9382606,0.0,0.0,0.0,0.0,0,-0.0403667195091823,-0.1031250547957745,0.11074406968576012,,0.0,0.00614560337882071,0,0
1789855930.0374284,0.0,0.0,0.0,0.0,0,-0.0426617976605002,-0.1090140701388593,0.11706449704272255,,0.0,0.006320433959131687,0,0
1789855930.1366105,0.0,0.0,0.0,0.0,0,-0.0450102084167164,-0.1150418004805934,0.12353353682111148,,0.0,0.006469046773101411,0,0
1789855930.2357948,0.0,0.0,0.0,0.0,0,-0.0474326037531585,-0.1212612957312737,0.1302081170328162,,0.0,0.006674587653125191,0,0
1789855930.3351,0.0,0.0,0.0,0.0,0,-0.0494731599215391,-0.1265021746080293,0.13583222641620255,,0.0,0.005624116008506496,0,0
1789855930.4343066,0.0,0.0,0.0,0.0,0,-0.0520034538822927,-0.13300322705717,0.14280832476893235,,0.0,0.00697610711459511,0,0
1789855930.5388224,0.0,0.0,0.0,0.0,0,-0.0552062139068524,-0.1412357801459022,0.15164191916271294,,0.0,0.008833606405863465,0,0
1789855930.6380963,0.0,0.0,0.0,0.0,0,-0.0578842734493747,-0.148122319451289,0.15903084805279666,,0.0,0.007388939471800536,0,0
1789855930.7371564,0.0,0.0,0.0,0.0,0,-0.0606211797950364,-0.1551619862741786,0.1665838210159994,,0.0,0.007552983868790911,0,0
1789855930.836419,0.0,0.0,0.0,0.0,0,-0.0634263454434788,-0.1623786382633785,0.17432648525277114,,0.0,0.007742675264301368,0,0
1789855930.9355412,0.0,0.0,0.0,0.0,0,-0.0662718617051551,-0.1696995618403788,0.18218095658625724,,0.0,0.007854481829869043,0,0
1789855931.0347116,0.0,0.0,0.0,0.0,0,-0.0686681261744256,-0.175864898505367,0.18879558808036237,,0.0,0.006614639793619603,0,0
1789855931.1394663,0.0,0.0,0.0,0.0,0,-0.0723496264889225,-0.1853364166948966,0.19895742209425346,,0.0,0.010161845372777076,0,0
1789855931.2386994,0.0,0.0,0.0,0.0,0,-0.0754064295962713,-0.1931997467933404,0.20739400132469663,,0.0,0.008436587312070538,0,0
1789855931.337814,0.0,0.0,0.0,0.0,0,-0.0785192457137239,-0.2012058097193816,0.21598391100330633,,0.0,0.008589916632703955,0,0
1789855931.4369535,0.0,0.0,0.0,0.0,0,-0.0817193619265188,-0.2094350619506478,0.22481347665998372,,0.0,0.008829571680505932,0,0
1789855931.53624,0.0,0.0,0.0,0.0,0,-0.0849404952739613,-0.2177165942472896,0.23369938628080472,,0.0,0.008885914540570791,0,0
1789855931.6354043,0.0,0.0,0.0,0.0,0,-0.0876574658208734,-0.2247001881103042,0.24119288101215525,,0.0,0.007493497994683338,0,0
1789855931.734521,0.0,0.0,0.0,0.0,0,-0.0910179244887007,-0.2333352946681906,0.2504588235940634,,0.0,0.009265945592557109,0,0
1789855931.8392656,0.0,0.0,0.0,0.0,0,-0.0952509983108287,-0.2442085394420675,0.26212699863928046,,0.0,0.011668177488203814,0,0
1789855931.938457,0.0,0.0,0.0,0.0,0,-0.0987501042891662,-0.2531921882389038,0.27176803947912215,,0.0,0.009641041870697174,0,0
1789855932.0375755,0.0,0.0,0.0,0.0,0,-0.1023263238089539,-0.2623689225277161,0.2816169882173474,,0.0,0.009848949094252313,0,0
1789855932.1367347,0.0,0.0,0.0,0.0,0,-0.1059396337393108,-0.271635008458689,0.29156265847527757,,0.0,0.009945670270675049,0,0
1789855932.23601,0.0,0.0,0.0,0.0,0,-0.109648882681674,-0.2811415161094687,0.30176717772758216,,0.0,0.010204519363044768,0,0
1789855932.3351724,0.0,0.0,0.0,0.0,0,-0.1127181910124395,-0.2890038048926412,0.3102073336134087,,0.0,0.008440156310122874,0,0
1789855932.4342887,0.0,0.0,0.0,0.0,0,-0.1165267570949895,-0.2987545757067453,0.32067550830207175,,0.0,0.010468175919152972,0,0
1789855932.5390306,0.0,0.0,0.0,0.0,0,-0.1213198871398999,-0.311018278493579,0.3338426044901212,,0.0,0.013167099212477112,0,0
1789855932.6382513,0.0,0.0,0.0,0.0,0,-0.1252854691130284,-0.3211586217235183,0.344730777677627,,0.0,0.010888177129647427,0,0
1789855932.7374003,0.0,0.0,0.0,0.0,0,-0.1293032336026076,-0.3314268972493314,0.3557571003373079,,0.0,0.01102632820877993,0,0
1789855932.8365128,0.0,0.0,0.0,0.0,0,-0.1333877424117858,-0.3418603703447162,0.3669615819645695,,0.0,0.01120448896846142,0,0
1789855932.9357655,0.0,0.0,0.0,0.0,0,-0.1375215523449002,-0.3524144929268499,0.3782963814051621,,0.0,0.011334808690128798,0,0
1789855933.0349245,0.0,0.0,0.0,0.0,0,-0.1409762720370246,-0.3612304335172335,0.3877650517729848,,0.0,0.009468679773037267,0,0
1789855933.1396756,0.0,0.0,0.0,0.0,0,-0.1462455394819284,-0.3746687492768354,0.4021994896851915,,0.0,0.014434455648228936,0,0
1789855933.2389102,0.0,0.0,0.0,0.0,0,-0.1506012547967089,-0.385770112533748,0.4141247609967844,,0.0,0.01192528918162332,0,0
1789855933.3381057,0.0,0.0,0.0,0.0,0,-0.1549957923540407,-0.3969646846248311,0.4261509785120158,,0.0,0.012026238175142564,0,0
1789855933.4372292,0.0,0.0,0.0,0.0,0,-0.1594763164912141,-0.4083731795212491,0.438407743172837,,0.0,0.012256788010950858,0,0
1789855933.5363772,0.0,0.0,0.0,0.0,0,-0.1640037730179802,-0.4198957667385354,0.45078785752177897,,0.0,0.0123801404992725,0,0
1789855933.6355462,0.0,0.0,0.0,0.0,0,-0.1677775998235373,-0.4294967283989332,0.46110385241064084,,0.0,0.010316018299846604,0,0
1789855933.7346942,0.0,0.0,0.0,0.0,0,-0.1724365644384012,-0.4413452731321044,0.47383543437713765,,0.0,0.012731612764159655,0,0
1789855933.8394616,0.0,0.0,0.0,0.0,0,-0.1782653143517517,-0.456162513397774,0.4897578594880364,,0.0,0.015922466349248918,0,0
1789855933.9386404,0.0,0.0,0.0,0.0,0,-0.1830402641122145,-0.4682959365647881,0.5027969992843645,,0.0,0.013039175701123786,0,0
1789855934.0377817,0.0,0.0,0.0,0.0,0,-0.1879198174132305,-0.4806906309971787,0.5161175646159387,,0.0,0.013320603983670968,0,0
1789855934.136932,0.0,0.0,0.0,0.0,0,-0.1928262167784512,-0.4931489802401473,0.5295071921976012,,0.0,0.013389668427217118,0,0
1789855934.2361429,0.0,0.0,0.0,0.0,0,-0.1978074867016956,-0.5057930679908658,0.5430970718231263,,0.0,0.013589922924582314,0,0
1789855934.3353248,0.0,0.0,0.0,0.0,0,-0.201975908982698,-0.5163704669359652,0.5544661639208057,,0.0,0.01136912981527383,0,0
1789855934.4344802,0.0,0.0,0.0,0.0,0,-0.2070538773712065,-0.5292517680179087,0.568312187168754,,0.0,0.01384607094154768,0,0
1789855934.539364,0.0,0.0,0.0,0.0,0,-0.2134502796784365,-0.5454717472902333,0.5857477690838121,,0.0,0.01743564424019299,0,0
1789855934.6383977,0.0,0.0,0.0,0.0,0,-0.2187227534801017,-0.5588381706635013,0.6001164419347681,,0.0,0.014368724848875447,0,0
1789855934.7374144,0.0,0.0,0.0,0.0,0,-0.2239835282390532,-0.5721728315645446,0.6144512756134561,,0.0,0.01433488515511143,0,0
1789855934.8366923,0.0,0.0,0.0,0.0,0,-0.2293784460389933,-0.5858462815369012,0.6291504884349034,,0.0,0.014699264342634643,0,0
1789855934.9359243,0.0,0.0,0.0,0.0,0,-0.2348300055415956,-0.5996627443590536,0.6440035236509949,,0.0,0.014853085400896809,0,0
1789855935.0350597,0.0,0.0,0.0,0.0,0,-0.2393567805594764,-0.6111359114649594,0.6563373908912276,,0.0,0.012333906741278168,0,0
1789855935.13427,0.0,0.0,0.0,0.0,0,-0.2449119582021812,-0.6252170649753397,0.67147467979575,,0.0,0.01513733407258038,0,0
1789855935.2391384,0.0,0.0,0.0,0.0,0,-0.2518683359930528,-0.6428538363517342,0.6904337141160269,,0.0,0.01895908480260956,0,0
1789855935.3382933,0.0,0.0,0.0,0.0,0,-0.2575588899699205,-0.6572851509893094,0.7059464225517237,,0.0,0.01551274465503563,0,0
1789855935.4374106,0.0,0.0,0.0,0.0,0,-0.2633202836123511,-0.6719006267240022,0.7216564445453224,,0.0,0.01571005371265273,0,0
1789855935.53659,0.0,0.0,0.0,0.0,0,-0.2691452474554138,-0.686683020061832,0.7375450727034073,,0.0,0.015888654964071165,0,0
1789855935.5556204,0.0,0.0,0.0,0.0,0,-0.2701424154689564,-0.6892142462225791,0.7402656292382891,,0.0,0.0027205605900407557,0,0
1789855935.965785,0.0,0.0,0.0,0.0,0,-0.2952875949937675,-0.7532291431772744,0.8090419679403376,,0.0,0.0687763555697395,0,0
1789855935.968335,0.0,0.0,0.0,0.0,0,-0.2953653292786155,-0.7534270410109748,0.8092545853230725,,0.0,0.0002126174301983091,0,0
1789855936.0671854,0.0,0.0,0.0,0.0,0,-0.3016097498361981,-0.7693316610826788,0.8263411195992172,,0.0,0.017086536446138244,0,0
1789855936.1664743,0.0,0.0,0.0,0.0,0,-0.3081341319428748,-0.7859632489250958,0.8442066523838112,,0.0,0.017865533186388734,0,0
1789855936.26555,0.0,0.0,0.0,0.0,0,-0.3144266589619751,-0.8020186568557389,0.86145113025097,,0.0,0.017244477959783643,0,0
1789855936.3647208,0.0,0.0,0.0,0.0,0,-0.3207894164501679,-0.8182687887252679,0.8789025317453332,,0.0,0.017451403056219696,0,0
1789855936.469411,0.0,0.0,0.0,0.0,0,-0.3272640124298989,-0.8348219634933893,0.8966768897226441,,0.0,0.01777436322360724,0,0
1789855936.5686336,0.0,0.0,0.0,0.0,0,-0.3340613429011387,-0.8522199433047407,0.9153555662076064,,0.0,0.018678688472466037,0,0
1789855936.667847,0.0,0.0,0.0,0.0,0,-0.3406036379644698,-0.8689854500449151,0.9333523185723573,,0.0,0.017996773070484605,0,0
1789855936.7670352,0.0,0.0,0.0,0.0,0,-0.3472139733567191,-0.8859464615216731,0.9515559237254182,,0.0,0.018203638216376973,0,0
1789855936.8661034,0.0,0.0,0.0,0.0,0,-0.353879319523471,-0.9030715194050682,0.9699323388499702,,0.0,0.018376464486735966,0,0
1789855936.9653134,0.0,0.0,0.0,0.0,0,-0.360622706538442,-0.92042130383824,0.9885464647806884,,0.0,0.018614195881402076,0,0
1789855937.0648873,0.0,0.0,0.0,0.0,0,-0.3674254199600598,-0.9379504129866074,1.0073492028361235,,0.0,0.01880283429252195,0,0
1789855937.1692326,0.0,0.0,0.0,0.0,0,-0.3743949379523319,-0.955937891776881,1.0266395776995734,,0.0,0.01929050476983815,0,0
1789855937.2685652,0.0,0.0,0.0,0.0,0,-0.3813477915453993,-0.9739121574107392,1.0459115777488046,,0.0,0.01927216641073662,0,0
1789855937.3679385,0.0,0.0,0.0,0.0,0,-0.3883482913496233,-0.9920402166369712,1.065344163554342,,0.0,0.019432795187998918,0,0
1789855937.4668982,0.0,0.0,0.0,0.0,0,-0.3957109492591895,-1.0111400076832369,1.0858136444626514,,0.0,0.020469752062599798,0,0
1789855937.5659945,0.0,0.0,0.0,0.0,0,-0.4028448398990228,-1.0296792869155869,1.105677800688908,,0.0,0.01986447256073378,0,0
1789855937.6650307,0.0,0.0,0.0,0.0,0,-0.4100418308357056,-1.0484002190379638,1.1257341259435762,,0.0,0.02005666916697132,0,0
1789855937.7698548,0.0,0.0,0.0,0.0,0,-0.4174292864896633,-1.067449208955831,1.146165355836451,,0.0,0.020431312193057927,0,0
1789855937.8691783,0.0,0.0,0.0,0.0,0,-0.4247513639064714,-1.0860592168555383,1.1661639437305857,,0.0,0.01999863024621688,0,0
1789855937.9682505,0.0,0.0,0.0,0.0,0,-0.4320971002372638,-1.1043824848154622,1.1859041178782652,,0.0,0.019740871079379874,0,0
1789855938.0672915,0.0,0.0,0.0,0.0,0,-0.4394685114834407,-1.122466580504346,1.2054309590078522,,0.0,0.01952875368898295,0,0
