t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,predicted_spoofed,is_spoofed
1790035595.1156914,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1790035595.1238215,0.0,0.0,-1.4830031961200989e-08,-7.30211940584301e-08,0.0,0.0,0,0
1790035595.2139764,0.0,0.0,-1.351484761329889e-05,-6.654791205513676e-05,0.0,0.0,0,0
1790035595.3131351,0.0,0.0,-4.955383499681285e-05,-0.0002443756579326,0.0,0.0,0,0
1790035595.4178877,0.0,0.0,-0.0001087258482789,-0.0005363285427341,0.0,0.0,0,0
1790035595.5171614,0.0,0.0,-0.0001898522668166,-0.00093589643645,0.0,0.0,0,0
1790035595.6176608,0.0,0.0,-0.0002973889077911,-0.0014651464097783,0.0,0.0,0,0
1790035595.7156336,0.0,0.0,-0.0004278879258992,-0.0021062971413625,0.0,0.0,0,0
1790035595.8153243,0.0,0.0,-0.0005783541528099,-0.0028445740380569,0.0,0.0,0,0
1790035595.917366,0.0,0.0,-0.0007502849868235,-0.0036882406674018,0.0,0.0,0,0
1790035596.0179873,0.0,0.0,-0.0009491238641173,-0.0046640811049821,0.0,0.0,0,0
1790035596.1152055,0.0,0.0,-0.0011711089187774,-0.0057541273623463,0.0,0.0,0,0
1790035596.214728,0.0,0.0,-0.0014125507099733,-0.0069406074388392,0.0,0.0,0,0
1790035596.31472,0.0,0.0,-0.0016777197822272,-0.0082440657681313,0.0,0.0,0,0
1790035596.4139504,0.0,0.0,-0.0019636505766142,-0.0096495658999558,0.0,0.0,0,0
1790035596.518468,0.0,0.0,-0.0022739778971629,-0.0111755084957613,0.0,0.0,0,0
1790035596.617547,0.0,0.0,-0.002607247674961,-0.0128148604561331,0.0,0.0,0,0
1790035596.7176254,0.0,0.0,-0.0029641125832145,-0.0145705777481909,0.0,0.0,0,0
1790035596.8169158,0.0,0.0,-0.0033388571277819,-0.0164148658850363,0.0,0.0,0,0
1790035596.9159298,0.0,0.0,-0.0037379502085764,-0.0183792677286555,0.0,0.0,0,0
1790035597.0156722,0.0,0.0,-0.0041628346823563,-0.0204707032180996,0.0,0.0,0,0
1790035597.1185875,0.0,0.0,-0.0046311160402797,-0.0227773082943595,0.0,0.0,0,0
1790035597.2171888,0.0,0.0,-0.0050975550437479,-0.0250779692095033,0.0,0.0,0,0
1790035597.3160205,0.0,0.0,-0.0055840306216621,-0.0274807413022358,0.0,0.0,0,0
1790035597.4152422,0.0,0.0,-0.0061114355699411,-0.0300892632756922,0.0,0.0,0,0
1790035597.5148125,0.0,0.0,-0.0066450454009283,-0.0327325964917153,0.0,0.0,0,0
1790035597.6146624,0.0,0.0,-0.0072022771455956,-0.0354969924558303,0.0,0.0,0,0
1790035597.7194767,0.0,0.0,-0.0077879272978438,-0.0384059486983072,0.0,0.0,0,0
1790035597.819569,0.0,0.0,-0.0083917406683582,-0.0414079595290356,0.0,0.0,0,0
1790035597.9181323,0.0,0.0,-0.0090137278207651,-0.0445042275663642,0.0,0.0,0,0
1790035598.0173938,0.0,0.0,-0.0096531264325676,-0.0476914156963351,0.0,0.0,0,0
1790035598.1159997,0.0,0.0,-0.0103309435342807,-0.0510742421441274,0.0,0.0,0,0
1790035598.2192569,0.0,0.0,-0.011013715493934,-0.0544857474254531,0.0,0.0,0,0
1790035598.3165617,0.0,0.0,-0.0117111346898285,-0.0579754953630487,0.0,0.0,0,0
1790035598.4158726,0.0,0.0,-0.0124581959123442,-0.0617206840969609,0.0,0.0,0,0
1790035598.5172884,0.0,0.0,-0.0132153260417301,-0.0655237205459461,0.0,0.0,0,0
1790035598.6173,0.0,0.0,-0.0139989339880783,-0.0694670003238438,0.0,0.0,0,0
1790035598.7190423,0.0,0.0,-0.0148033631401145,-0.0735220127597608,0.0,0.0,0,0
1790035598.8192031,0.0,0.0,-0.015616169242828,-0.0776251187616844,0.0,0.0,0,0
1790035598.9185,0.0,0.0,-0.0164480115061,-0.0818299327459907,0.0,0.0,0,0
1790035599.016548,0.0,0.0,-0.0172872930581066,-0.0860779986345545,0.0,0.0,0,0
1790035599.1167653,0.0,0.0,-0.0181760868040223,-0.0905818717935438,0.0,0.0,0,0
1790035599.2157023,0.0,0.0,-0.0190904816840972,-0.0952219218847634,0.0,0.0,0,0
1790035599.314855,0.0,0.0,-0.0200056907870399,-0.0998728694459887,0.0,0.0,0,0
1790035599.413964,0.0,0.0,-0.0209399613837955,-0.1046272381302522,0.0,0.0,0,0
1790035599.515174,0.0,0.0,-0.0219299426199764,-0.1096708300308531,0.0,0.0,0,0
1790035599.619183,0.0,0.0,-0.0229214152620157,-0.1147272229810731,0.0,0.0,0,0
1790035599.717575,0.0,0.0,-0.023914895163514,-0.1197983910479472,0.0,0.0,0,0
1790035599.81733,0.0,0.0,-0.0249440312658088,-0.1250574743377868,0.0,0.0,0,0
1790035599.9162498,0.0,0.0,-0.0260214144387096,-0.1305693670035638,0.0,0.0,0,0
1790035600.0163755,0.0,0.0,-0.0270894666799988,-0.1360393080891928,0.0,0.0,0,0
1790035600.1171896,0.0,0.0,-0.0281660207944928,-0.1415572757099411,0.0,0.0,0,0
1790035600.219722,0.0,0.0,-0.0293051558220411,-0.1474014752631881,0.0,0.0,0,0
1790035600.3182793,0.0,0.0,-0.0304261965886681,-0.1531590254391758,0.0,0.0,0,0
