t,x_m,y_m
1790035459.187641,0.0,0.0222639994692031
1790035459.2869716,0.0,0.0222639994692031
1790035459.3857522,0.0,0.0222639994692031
1790035459.4847195,0.0,0.0222639994692031
1790035459.584001,0.0,0.0222639994692031
1790035459.6837094,0.0,0.0222639994692031
1790035459.7876084,0.0,0.0222639994692031
1790035459.8867798,0.0,0.0222639994692031
1790035459.9866734,0.0,0.0222639994692031
1790035460.085606,0.0,0.0222639994692031
1790035460.1846116,0.0,0.0222639994692031
1790035460.2837,0.0,0.011132000130089637
1790035460.3828237,0.0,0.011132000130089637
1790035460.4817607,0.0,0.011132000130089637
1790035460.5811603,0.0,0.011132000130089637
1790035460.6861205,0.0,0.011132000130089637
1790035460.7851667,0.0,0.011132000130089637
1790035460.8842623,0.0,0.011132000130089637
1790035460.9831834,0.0,0.011132000130089637
1790035461.088527,0.0,0.011132000130089637
1790035461.1874084,0.0,0.0222639994692031
1790035461.2864864,0.0,0.011132000130089637
1790035461.3856394,0.0,0.0222639994692031
1790035461.4851148,0.0,0.011132000130089637
1790035461.5842,0.0,0.0222639994692031
1790035461.6832025,0.0,0.0222639994692031
1790035461.788144,0.0,0.0222639994692031
1790035461.8872638,0.0,0.0222639994692031
1790035461.9865708,0.009078164499089185,0.0222639994692031
1790035462.0857482,0.02723449607743724,0.04452799972938237
1790035462.1845093,0.05446898957470479,0.06679199998956165
1790035462.283653,0.0998598146503204,0.12245199984903365
1790035462.3831768,0.16340697130428408,0.1892439998385953
1790035462.4821548,0.2541886214555153,0.2671679999582466
1790035462.5814886,0.3540484361058357,0.3784879996771906
1790035462.686195,0.4811427468335933,0.5120719996563139
1790035462.7852826,0.6263933865595294,0.6567879997655268
1790035462.88458,0.7807221933647243,0.8126360000048294
1790035462.9836602,0.9532073291680975,0.990747999713335
1790035463.085727,1.13477062947056,1.1688600002128169
1790035463.1869028,1.3163339297730223,1.3581040000514122
1790035463.2858262,1.4978972326556546,1.5362159997599178
