t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,predicted_spoofed,is_spoofed
1790035875.4864836,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1790035875.4915988,0.0,0.0,8.162479005048632e-09,-7.273437978881643e-08,0.0,0.0,0,0
1790035875.5830746,0.0,0.0,1.273400622181656e-05,-0.0001138955738315,0.0,0.0,0,0
1790035875.683433,0.0,0.0,5.3180166328324346e-05,-0.0004757811007918,0.0,0.0,0,0
1790035875.7873526,0.0,0.0,0.0001365876421735,-0.0012224949471351,0.0,0.0,0,0
1790035875.8867488,0.0,0.0,0.0002364578446792,-0.0021160793833246,0.0,0.0,0,0
1790035875.9837286,0.0,0.0,0.0003400944983686,-0.00304403887457,0.0,0.0,0,0
1790035876.084146,0.0,0.0,0.0004902320396661,-0.0043895421251684,0.0,0.0,0,0
1790035876.1889372,0.0,0.0,0.0007054961883395,-0.0063200144721235,0.0,0.0,0,0
1790035876.2895596,0.0,0.0,0.0009134671055843,-0.0081869526135996,0.0,0.0,0,0
1790035876.3882947,0.0,0.0,0.0011475542192194,-0.0102894660186805,0.0,0.0,0,0
1790035876.4888709,0.0,0.0,0.0014142650391343,-0.0126867429216643,0.0,0.0,0,0
1790035876.5879755,0.0,0.0,0.0017019117426289,-0.0152727551949467,0.0,0.0,0,0
1790035876.6888008,0.0,0.0,0.0020217042799955,-0.0181484725536655,0.0,0.0,0,0
1790035876.7887344,0.0,0.0,0.0023662657820974,-0.0212486242611089,0.0,0.0,0,0
1790035876.8887863,0.0,0.0,0.0026950766427768,-0.0242109074738131,0.0,0.0,0,0
1790035876.9855306,0.0,0.0,0.0031262844281542,-0.02810049551864,0.0,0.0,0,0
1790035877.0856826,0.0,0.0,0.0035461096890323,-0.0318900265132379,0.0,0.0,0,0
1790035877.186049,0.0,0.0,0.0040049560964352,-0.0360336412946598,0.0,0.0,0,0
1790035877.2862942,0.0,0.0,0.0044802572020815,-0.0403280752189734,0.0,0.0,0,0
1790035877.385413,0.0,0.0,0.0049861459740051,-0.0449012216544771,0.0,0.0,0,0
1790035877.4851897,0.0,0.0,0.0055199973474812,-0.0497315728631324,0.0,0.0,0,0
1790035877.5854216,0.0,0.0,0.0060732470051132,-0.0547447051982245,0.0,0.0,0,0
1790035877.6851203,0.0,0.0,0.0066629879263013,-0.0600970233625325,0.0,0.0,0,0
1790035877.7839744,0.0,0.0,0.0071740438970468,-0.0647410595675614,0.0,0.0,0,0
1790035877.8836954,0.0,0.0,0.0078095141849497,-0.0705238864202724,0.0,0.0,0,0
1790035877.9888215,0.0,0.0,0.0085980248755732,-0.0777111858326556,0.0,0.0,0,0
1790035878.0888548,0.0,0.0,0.0092962356877062,-0.0840884090616373,0.0,0.0,0,0
1790035878.1892557,0.0,0.0,0.0100096914713415,-0.0906160726871053,0.0,0.0,0,0
1790035878.2898417,0.0,0.0,0.0107512600148725,-0.0974110026880564,0.0,0.0,0,0
1790035878.389553,0.0,0.0,0.0115190896090548,-0.1044570684381632,0.0,0.0,0,0
1790035878.4855323,0.0,0.0,0.0122754198024558,-0.1114058506640808,0.0,0.0,0,0
1790035878.586065,0.0,0.0,0.0130994584759893,-0.1189881286762514,0.0,0.0,0,0
1790035878.684874,0.0,0.0,0.0139385534007063,-0.1267227248278091,0.0,0.0,0,0
1790035878.7850718,0.0,0.0,0.0148057053724986,-0.134730547513559,0.0,0.0,0,0
1790035878.8857045,0.0,0.0,0.0157014489293538,-0.1430158379531666,0.0,0.0,0,0
1790035878.9851892,0.0,0.0,0.0166091604117104,-0.1514234793237092,0.0,0.0,0,0
1790035879.0887775,0.0,0.0,0.0175925961918422,-0.1605465091082111,0.0,0.0,0,0
1790035879.189029,0.0,0.0,0.018563485512976,-0.1695641758093626,0.0,0.0,0,0
1790035879.2885385,0.0,0.0,0.019544400544839,-0.1786840331420567,0.0,0.0,0,0
1790035879.383827,0.0,0.0,0.0203246729494282,-0.1859443206519648,0.0,0.0,0,0
1790035879.4884784,0.0,0.0,0.0216000903524319,-0.1978234528906692,0.0,0.0,0,0
1790035879.5878737,0.0,0.0,0.0226632292195986,-0.2077345849927598,0.0,0.0,0,0
1790035879.686897,0.0,0.0,0.0237511196195368,-0.2178821295083408,0.0,0.0,0,0
1790035879.785828,0.0,0.0,0.0248743587923743,-0.2283648960455029,0.0,0.0,0,0
1790035879.886505,0.0,0.0,0.026038131473473,-0.2392331489083306,0.0,0.0,0,0
1790035879.987778,0.0,0.0,0.0272167130929093,-0.2502463629921504,0.0,0.0,0,0
1790035880.0885994,0.0,0.0,0.0284323016362099,-0.2616118955440198,0.0,0.0,0,0
1790035880.1890962,0.0,0.0,0.029664214608068,-0.2731360037384029,0.0,0.0,0,0
1790035880.2901013,0.0,0.0,0.0309289941842176,-0.2849741149184787,0.0,0.0,0,0
1790035880.389048,0.0,0.0,0.0321953773647336,-0.2968329607601288,0.0,0.0,0,0
1790035880.489179,0.0,0.0,0.0334938412183119,-0.3089982716951618,0.0,0.0,0,0
1790035880.5882552,0.0,0.0,0.0348108311021012,-0.3213429387912009,0.0,0.0,0,0
1790035880.689083,0.0,0.0,0.0361823514004394,-0.3342046546783468,0.0,0.0,0,0
1790035880.7900696,0.0,0.0,0.0375616305814954,-0.3471454202031079,0.0,0.0,0,0
1790035880.884596,0.0,0.0,0.0386875887964723,-0.3577133981358672,0.0,0.0,0,0
1790035880.9877555,0.0,0.0,0.040363970148428,-0.3734539515578809,0.0,0.0,0,0
1790035881.0869417,0.0,0.0,0.0418124648581487,-0.3870611015371826,0.0,0.0,0,0
1790035881.186877,0.0,0.0,0.0433046885591228,-0.4010845518823772,0.0,0.0,0,0
