t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed,dr_x,dr_y,divergence_m,slope_gap_mps,cusum_stat,jump_delta_m,jump_alarm,predicted_spoofed
1790035514.1052568,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,0
1790035514.108738,0.0,0.0,0.0,0.0,0,-2.927201143179445e-09,-4.962699886934606e-08,4.971325299465633e-08,,0.0,4.971325299465633e-08,0,0
1790035514.2078035,0.0,0.0,0.0,0.0,0,-1.3839915060951533e-05,-0.0002351100535888,0.00023551704937737047,,0.0,0.0002354673361247217,0,0
1790035514.307003,0.0,0.0,0.0,0.0,0,-5.166834720399477e-05,-0.0008746699669328,0.000876194709614831,,0.0,0.0006406776670331077,0,0
1790035514.4062111,0.0,0.0,0.0,0.0,0,-0.000110183681804,-0.0018613255097495,0.0018645838937897433,,0.0,0.0009883891969028533,0,0
1790035514.5054083,0.0,0.0,0.0,0.0,0,-0.0001906249336574,-0.0032172622123091,0.0032229045918369865,,0.0,0.001358320704527448,0,0
1790035514.6099832,0.0,0.0,0.0,0.0,0,-0.0002938793759272,-0.0049611724446233,0.004969868923109028,,0.0,0.0017469643322685826,0,0
1790035514.7091317,0.0,0.0,0.0,0.0,0,-0.0004176279222481,-0.0070522770167311,0.00706463192262378,,0.0,0.002094763001918518,0,0
1790035514.8083582,0.0,0.0,0.0,0.0,0,-0.0005626786506439,-0.0095004572551425,0.009517105406618138,,0.0,0.002452473484781487,0,0
1790035514.9073954,0.0,0.0,0.0,0.0,0,-0.0007297676798226,-0.01231483870729,0.012336442487730477,,0.0,0.0028193371032680286,0,0
1790035515.0068264,0.0,0.0,0.0,0.0,0,-0.0009282396806209,-0.0156490133358459,0.015676518978719797,,0.0,0.003340076584272694,0,0
1790035515.107541,0.0,0.0,0.0,0.0,0,-0.001136672568336,-0.0191393333143287,0.019173056726682368,,0.0,0.0034965379764672127,0,0
1790035515.2057743,0.0,0.0,0.0,0.0,0,-0.0013807080730364,-0.0232119550316511,0.023252982844666203,,0.0,0.004079926590021007,0,0
1790035515.3104165,0.0,0.0,0.0,0.0,0,-0.0016452310337664,-0.0276136958591498,0.02766266408276858,,0.0,0.004409681928350649,0,0
1790035515.4096963,0.0,0.0,0.0,0.0,0,-0.0019176354033272,-0.0321359844929428,0.03219314872563344,,0.0,0.004530485473753243,0,0
