t,dr_x,dr_y
1790036456.5322962,0.0,0.0
1790036456.5331116,3.286020805815233e-09,1.4717412748030829e-08
1790036456.5335622,6.106539444028834e-09,2.7349936829631988e-08
1790036456.5366747,7.372425777450355e-08,3.291368479552417e-07
1790036456.5370345,8.218316161304654e-08,3.668859894114791e-07
1790036456.5375435,9.544147719532382e-08,4.2603596160909894e-07
1790036456.5382442,1.161375625661719e-07,5.183629008781103e-07
1790036456.538569,1.2625368104679176e-07,5.6349069225609e-07
1790036456.6574817,7.424256930452911e-05,0.0003310619158922306
1790036456.9110756,0.0005519195850248451,0.0024630044672126934
1790036457.156505,0.001311782385458612,0.0058604436510130385
1790036457.4121218,0.0024201972343806887,0.010847190461886223
1790036457.7949016,0.004782034463126469,0.02155962865771746
1790036457.795323,0.0047846347400648526,0.021571422645755275
1790036457.79589,0.004788137165069536,0.021587308605579537
1790036457.7963564,0.004791017876889492,0.02160037476613339
1790036457.796718,0.004793251199535524,0.021610504601880933
1790036457.7971616,0.004795993705320715,0.02162294406448801
1790036457.7975895,0.004798639825276435,0.021634946413673473
1790036457.7984078,0.004803702351495045,0.02165790943224855
1790036457.8094149,0.004872383765751923,0.021969484496950714
1790036457.8297546,0.00500127880014002,0.02255438270313477
1790036457.8494818,0.005128155371742262,0.023130275213805274
1790036457.869684,0.005260039398648175,0.023729064973408077
1790036457.8907754,0.00539986301576671,0.024364066453123487
1790036457.933751,0.005693628262538788,0.025698866405997618
1790036457.934998,0.005702159255743613,0.02573762978165087
1790036457.9535446,0.005830698356841531,0.026321808823570082
1790036457.9741518,0.005975558404797568,0.02698029515844051
1790036457.994073,0.00611749263937662,0.027625637102929566
1790036458.0141065,0.006262146723969954,0.028283507638261495
1790036458.028788,0.006369184341889936,0.028770396823530855
1790036458.0492191,0.006520130848448189,0.029457193354350264
1790036458.0691094,0.006668971372485079,0.030134572877000408
1790036458.090763,0.006833244666562073,0.030882390471393212
1790036458.1123426,0.006999176977754123,0.03163796376824342
1790036458.133845,0.007166722622486072,0.032401066545570824
1790036458.1618068,0.007388321517937539,0.03341068015620342
1790036458.1706848,0.007459056044829356,0.03373297665006176
1790036458.1879835,0.007598306979458299,0.03436755604783982
1790036458.212159,0.007795707621777003,0.035267273913159404
1790036458.2289789,0.007934400005885951,0.035899481403357
1790036458.2519112,0.008126008873661458,0.036773019574125584
1790036458.2698443,0.008277384872896865,0.037463219743466364
1790036458.2879467,0.00843175709753523,0.03816716752884549
1790036458.3107862,0.008629024227249605,0.03906685384211876
1790036458.3281558,0.008780493370355899,0.03975772262934527
1790036458.351496,0.008986642104291405,0.04069808414917645
1790036458.369154,0.00914409405178269,0.04141637851473645
1790036458.3917148,0.009347701509049738,0.0423453138074332
1790036458.410032,0.009514619501902886,0.0431069040989527
1790036458.4272676,0.009673101333940504,0.04383004849714377
1790036458.451099,0.00989496205359321,0.04484242993459118
1790036458.471232,0.010084339604966071,0.0457066303905368
1790036458.490764,0.01026989833226038,0.046553448737099226
1790036458.5115414,0.010469364008885268,0.04746379993750066
1790036458.5310636,0.010658605849570535,0.04832755365139086
1790036458.550946,0.010853230639239953,0.049215955458863245
1790036458.570379,0.01104526384376037,0.050092589182596056
1790036458.5904503,0.0112455362951907,0.05100687752476435
1790036458.6108165,0.011450732559937797,0.05194372840448712
1790036458.630921,0.011655218115797686,0.05287743310195667
1790036458.6703222,0.012063385693835346,0.05474153054799652
1790036458.674085,0.012102432178481537,0.054919859094530024
1790036458.6912267,0.012281717290130627,0.055738747471406835
1790036458.712266,0.012503879235674992,0.05675360140758666
1790036458.7323248,0.012717605745787963,0.057730044398388254
1790036458.7520072,0.012929166633386344,0.05869670692222932
1790036458.7718985,0.013144852147623143,0.05968234988895947
1790036458.7925613,0.013370940210430152,0.06071562824021045
1790036458.8133893,0.013600898744789163,0.061766725452271694
1790036458.832791,0.013816898141620458,0.06275413758497092
1790036458.852465,0.014037763245384456,0.06376392399545343
1790036458.8726482,0.01426628537988204,0.06480884435508849
1790036458.8932862,0.014501975071333481,0.06588671050066978
1790036458.9219208,0.01483286678266696,0.0674003394963633
1790036458.934404,0.014977853375319055,0.06806363813125328
1790036458.9536269,0.015202865584131005,0.06909320482707305
1790036458.9743457,0.01544740636357776,0.07021233693357902
1790036458.994684,0.0156893949753154,0.07132002131572815
1790036459.014819,0.015930866865029505,0.07242554758811638
1790036459.033788,0.01616004521722927,0.07347497719343477
1790036459.0541997,0.016408608103473193,0.07461338887903146
1790036459.0742705,0.016654907596270044,0.07574166687696027
1790036459.0944602,0.016904577118903516,0.0768856373527117
1790036459.1148355,0.01715848681724894,0.07804930170433191
1790036459.1351843,0.017414010560127223,0.07922059946498217
1790036459.168493,0.017837487270032832,0.08116235411143445
1790036459.1739874,0.01790748242461626,0.0814833165711178
1790036459.194651,0.01817272553644325,0.0826998248708194
1790036459.215327,0.018440131907603068,0.0839265023931143
1790036459.2340004,0.018683264187603597,0.08504204659921688
1790036459.2537444,0.018942150558678216,0.08623013689020584
1790036459.2745922,0.019217535880856396,0.08749424922652238
1790036459.2942038,0.019478384605747124,0.08869190627754879
1790036459.313821,0.01974110086877012,0.08989842569731125
1790036459.334055,0.020013981531089783,0.09115190587452562
1790036459.3538604,0.02028290966757548,0.09238750111002933
1790036459.3742692,0.02056197513556197,0.09366992138530905
1790036459.3943706,0.020838722016403483,0.09494191183017597
1790036459.4235651,0.021244640962694687,0.09680805660611354
1790036459.4291673,0.021322678936406263,0.09716683942210244
1790036459.4488034,0.02159801385180868,0.09843290426483108
1790036459.46913,0.021884964516424594,0.09975258687060666
1790036459.4914677,0.02220263822312806,0.101213842657574
1790036459.5115738,0.022490465911180563,0.10253803638697177
1790036459.5346377,0.022823123841563177,0.10406875242686232
1790036459.5520513,0.023075702459887614,0.10523113846272861
1790036459.5725975,0.023375691384788906,0.10661191136902358
1790036459.5931485,0.02367772589427249,0.10800228694178367
1790036459.61423,0.023989642911674644,0.10943831339448351
1790036459.634675,0.024294102709080816,0.11084017432246913
1790036459.6747246,0.024898003887257394,0.11362150669486959
1790036459.6778705,0.02494548730890609,0.11384020105476739
1790036459.6925757,0.02516845729793077,0.11486722009463163
1790036459.714228,0.025498965760027668,0.11638976071085161
1790036459.7326882,0.02578235648083665,0.11769536585670362
1790036459.7541778,0.026114432851892706,0.11922539599848965
1790036459.7738864,0.026420817615310566,0.12063717362920119
1790036459.79361,0.026729271706926266,0.12205858109662646
1790036459.8142042,0.02705334786648247,0.1235520424378232
1790036459.8336887,0.027361756375783693,0.12497338353173204
1790036459.8540776,0.02768644077318167,0.12646983948698864
1790036459.8742795,0.02801007496720109,0.1279615635927052
1790036459.8947687,0.02834029557036774,0.12948376382391308
1790036459.9230597,0.028800030975432624,0.13160326459705435
1790036459.929554,0.028905763413192887,0.13209073292022522
1790036459.954904,0.029321520340123166,0.13400770007061844
1790036459.9740365,0.029637031686501492,0.13546254749053255
1790036459.994162,0.029970834102095566,0.13700183621839135
1790036460.010408,0.03024152821749662,0.1382501948869562
1790036460.030653,0.030580783550221032,0.13981488642850481
1790036460.0518668,0.030938385296482723,0.14146436295103948
