t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790037858.4975386,0.0,0.0,0.0,0.0,0
1790037858.506532,0.0,0.0,0.0,0.0,0
1790037858.5990524,0.0,0.0,0.0,0.0,0
1790037858.6983025,0.0,0.0,0.0,0.0,0
1790037858.7942717,0.0,0.0,0.0,0.0,0
1790037858.8979893,0.0,0.0,0.0,0.0,0
1790037858.9952166,0.0,0.0,0.0,0.0,0
1790037859.0965977,0.0,0.0,0.0,0.0,0
1790037859.1951964,0.0,0.0,0.0,0.0,0
1790037859.298884,0.0,0.0,0.0,0.0,0
1790037859.3988502,0.0,0.0,0.0,0.0,0
1790037859.4989169,0.0,0.0,0.0,0.0,0
1790037859.599031,0.0,0.0,0.0,0.0,0
1790037859.7002776,0.0,0.0,0.0,0.0,0
1790037859.7999103,0.0,0.0,0.0,0.0,0
1790037859.8999915,0.0,0.0,0.0,0.0,0
1790037860.0001354,0.0,0.0,0.0,0.0,0
1790037860.096239,0.0,0.0,0.0,0.0,0
1790037860.1988964,0.0,0.0,0.0,0.0,0
1790037860.2981894,0.0,0.0,0.0,0.0,0
1790037860.397442,0.0,0.0,0.0,0.0,0
1790037860.497456,0.0,0.0,0.0,0.0,0
1790037860.5972986,0.0,0.0,0.0,0.0,0
1790037860.698902,0.0,0.0,0.0,0.0,0
1790037860.7987025,0.0,0.0,0.0,0.0,0
1790037860.8986626,0.0,0.0,0.0,0.0,0
1790037860.9981012,0.0,0.0,0.0,0.0,0
1790037861.0985105,0.0,0.0,0.0,0.0,0
1790037861.1995432,0.0,0.0,0.0,0.0,0
1790037861.300771,0.0,0.0,0.0,0.0,0
1790037861.4008355,0.0,0.0,0.0,0.0,0
1790037861.500213,0.0,0.0,0.0,0.0,0
1790037861.6001835,0.0,0.0,0.0,0.0,0
1790037861.7005837,0.0,0.0,0.0,0.0,0
1790037861.800729,0.0,0.0,0.0,0.0,0
1790037861.9007497,0.0,0.0,0.0,0.0,0
1790037862.0000808,0.0,0.0,0.0,0.0,0
1790037862.0985768,0.0,0.0,0.0,0.0,0
1790037862.1999502,0.0,0.0,0.0,0.0,0
1790037862.3002756,0.0,0.0,0.0,0.0,0
1790037862.4000385,0.0,0.0,0.0,0.0,0
1790037862.4990833,0.0,0.0,0.0,0.0,0
1790037862.5991073,0.0,0.0,0.0,0.0,0
1790037862.7006052,0.0,0.0,0.0,0.0,0
1790037862.800336,0.0,0.0,0.0,0.0,0
1790037862.9001598,0.0,0.0,0.0,0.0,0
1790037862.9997828,0.0,0.0,0.0,0.0,0
1790037863.098871,0.0,0.0,0.0,0.0,0
1790037863.1988182,0.0,0.0,0.0,0.0,0
1790037863.2998192,0.0,0.0,0.0,0.0,0
1790037863.3997777,0.0,0.0,0.0,0.0,0
1790037863.4997363,0.0,0.0,0.0,0.0,0
1790037863.600088,0.0,0.0,0.0,0.0,0
1790037863.6999762,0.0,0.0,0.0,0.0,0
1790037863.8002272,0.0,0.0,0.0,0.0,0
1790037863.9006736,0.0,0.0,0.0,0.0,0
1790037863.9981544,0.0,0.0,0.0,0.0,0
1790037864.0987954,0.0,0.0,0.0,0.0,0
1790037864.1996589,0.0,0.0,0.0,0.0,0
1790037864.3001926,0.0,0.0,0.0,0.0,0
1790037864.39969,0.0,0.0,0.0,0.0,0
1790037864.5003052,0.0,0.0,0.0,0.0,0
1790037864.6005309,0.0,0.0,0.0,0.0,0
1790037864.6964662,0.0,0.0,0.0,0.0,0
1790037864.7973218,0.0,0.0,0.0,0.0,0
1790037864.8972168,0.0,0.0,0.0,0.0,0
1790037864.9977636,0.0,0.0,0.0,0.0,0
1790037865.096507,0.0,0.0,0.0,0.0,0
1790037865.1963472,0.0,0.0,0.0,0.0,0
1790037865.2986777,0.0,0.0,0.0,0.0,0
1790037865.397216,0.0,0.0,0.0,0.0,0
1790037865.4976504,0.0,0.0,0.0,0.0,0
1790037865.5988147,0.0,0.0,0.0,0.0,0
1790037865.6990666,0.0,0.0,0.0,0.0,0
1790037865.798921,0.0,0.0,0.0,0.0,0
1790037865.900132,0.0,0.0,0.0,0.0,0
1790037866.0001512,0.0,0.0,0.0,0.0,0
1790037866.100072,0.0,0.0,0.0,0.0,0
1790037866.2012448,0.0,0.0,0.0,0.0,0
1790037866.297042,0.0,0.0,0.0,0.0,0
1790037866.3975644,0.0,0.0,0.0,0.0,0
1790037866.497437,0.0,0.0,0.0,0.0,0
1790037866.5972002,0.0,0.0,0.0,0.0,0
1790037866.6968057,0.0,0.0,0.0,0.0,0
1790037866.796517,0.0,0.0,0.0,0.0,0
1790037866.8968902,0.0,0.0,0.0,0.0,0
1790037867.31335,0.0,0.0,0.0,0.0,0
1790037867.3865535,0.0,0.0,0.0,0.0,0
1790037867.4181015,0.0,0.0,0.0,0.0,0
1790037867.51726,0.0,0.0,0.0,0.0,0
1790037867.6273596,0.0,0.0,0.0,0.0,0
1790037867.7188404,0.0,0.0,0.0,0.0,0
1790037867.8194923,0.0,0.0,0.0,0.0,0
1790037867.9141936,0.0,0.0,0.0,0.0,0
1790037868.0151176,0.0,0.0,0.0,0.0,0
1790037868.1307175,0.0,0.0,0.0,0.0,0
1790037868.2150023,0.0,0.0,0.0,0.0,0
1790037868.3157425,0.0,0.0,0.0,0.0,0
1790037868.415652,0.0,0.0,0.0,0.0,0
1790037868.5157654,0.0,0.0,0.0,0.0,0
1790037868.6396854,0.0,0.0,0.0,0.0,0
1790037868.718842,0.0,0.0,0.0,0.0,0
1790037868.819198,0.0,0.0,0.0,0.0,0
1790037868.914317,0.0,0.0,0.0,0.0,0
1790037869.0148528,0.0,0.0,0.0,0.0,0
1790037869.1307566,0.0,0.0,0.0,0.0,0
1790037869.217907,0.0,0.0,0.0,0.0,0
1790037869.3176465,0.0,0.0,0.0,0.0,0
1790037869.4182827,0.0,0.0,0.0,0.0,0
1790037869.519764,0.0,0.0,0.0,0.0,0
1790037869.63527,0.0,0.0,0.0,0.0,0
1790037869.7154138,0.0,0.0,0.0,0.0,0
1790037869.8164396,0.0,0.0,0.0,0.0,0
1790037869.916112,0.0,0.0,0.0,0.0,0
1790037870.0151577,0.0,0.0,0.0,0.0,0
1790037870.1251333,0.0,0.0,0.0,0.0,0
1790037870.2197337,0.0,0.0,0.0,0.0,0
1790037870.3177826,0.0,0.0,0.0,0.0,0
1790037870.4189973,0.0,0.0,0.0,0.0,0
1790037870.516143,0.0,0.0,0.0,0.0,0
1790037870.6366453,0.0,0.0,0.0,0.0,0
1790037870.715119,0.0,0.0,0.0,0.0,0
1790037870.8146038,0.0,0.0,0.0,0.0,0
1790037870.9143362,0.0090785584713452,0.0,0.0090785584713452,0.0,0
1790037871.0180073,0.0090785584713452,0.0,0.0090785584713452,0.0,0
1790037871.13737,0.0090785584713452,0.0,0.0090785584713452,0.0,0
1790037871.217332,0.0090785584713452,0.0,0.0090785584713452,0.0,0
1790037871.317375,0.0090785584713452,0.0,0.0090785584713452,0.0,0
