t,x_m,y_m
1790037005.5316577,28.960332874648593,1.8813079998378157
1790037005.631363,28.951254398352468,1.5807440002802764
1790037005.7326736,28.951254398352468,1.280179999931761
1790037005.8308048,28.933097450920734,0.9796159995832454
1790037005.934177,28.905862027192875,0.6901840001557957
1790037006.0359032,28.86954812974915,0.4118840000674595
1790037006.1322775,28.805998811157817,0.14471600010921293
1790037006.2330604,28.71521406883863,-0.11131999971894402
1790037006.3345122,28.59719390279158,-0.3562240002079875
1790037006.4354043,28.4610167893128,-0.5899959997759652
1790037006.5307124,28.297604252106158,-0.823768000134919
1790037006.6319656,28.125113241183648,-1.0464080003637832
1790037006.7328384,27.94354375654527,-1.2690479998016713
1790037006.8338983,27.74381732447516,-1.4916880000305355
1790037006.935315,27.54409088982479,-1.7143280002593997
1790037007.034564,27.34436445517442,-1.9369679996972877
1790037007.130997,27.135559549388443,-2.159607999926152
1790037007.2316604,26.926754641022207,-2.3711160000249265
1790037007.3327365,26.717949732655967,-2.5937560002537907
1790037007.4341688,26.50914482428973,-2.8163959996916788
1790037007.5315194,26.300339915923495,-3.0279039997904533
1790037007.6309302,26.09153500755726,-3.2505440000193175
1790037007.7335167,25.88273010177128,-3.462052000118092
1790037007.8344998,25.673925193405044,-3.6846920003469563
1790037007.933627,25.465120285038807,-3.896200000445731
1790037008.033719,25.247236902956704,-4.118839999883619
1790037008.1353664,25.038431994590468,-4.3303479999823935
1790037008.236179,24.82962708622423,-4.541856000081168
1790037008.3360372,24.62082218043825,-4.753364000179943
1790037008.4309947,24.412017272072013,-4.976004000408807
1790037008.5329998,24.203212363705777,-5.187511999716605
1790037008.6334088,23.99440745533954,-5.39901999981538
1790037008.7338598,23.785602546973305,-5.610527999914154
1790037008.8339458,23.5677191648912,-5.822036000012929
1790037008.936453,23.358914259105223,-6.0335440001117036
1790037009.0353446,23.14103087702312,-6.245052000210478
1790037009.136562,22.932225968656883,-6.456560000309253
1790037009.2299955,22.714342586574777,-6.656936000277938
1790037009.3305626,22.50553767820854,-6.868444000376712
1790037009.4321792,22.287654296126437,-7.079951999684511
1790037009.532233,22.069770914044334,-7.291459999783285
1790037009.6347864,21.85188753196223,-7.50296799988206
1790037009.7344763,21.634004149880127,-7.703343999850745
1790037009.8329127,21.416120767798024,-7.90371999981943
1790037009.933395,21.198237385715917,-8.092964000449001
1790037010.0340583,20.971275529917946,-8.259944000027417
1790037010.136678,20.73523519782385,-8.41579200026672
1790037010.2317126,20.499194868310013,-8.538244000115753
1790037010.331792,20.24499758878418,-8.627300000365494
1790037010.431424,19.981721835542483,-8.70522399969417
1790037010.5370026,19.700289132288795,-8.760884000344618
1790037010.6326947,19.41885643161536,-8.79427999994391
1790037010.7336671,19.128345254645804,-8.82767600033418
