t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,predicted_spoofed,is_spoofed
1790035432.094156,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1790035432.097575,0.0,0.0,-5.457956283917362e-10,-1.369010098068063e-08,0.0,0.0,0,0
1790035432.1967552,0.0,0.0,-9.507746024365632e-06,-0.0002391973928296,0.0,0.0,0,0
1790035432.2959094,0.0,0.0,-3.253677257323482e-05,-0.0008201094997143,0.0,0.0,0,0
1790035432.395036,0.0,0.0,-6.89874546444413e-05,-0.0017450363692689,0.0,0.0,0,0
1790035432.4997177,0.0,0.0,-0.0001194896045618,-0.0030296902757127,0.0,0.0,0,0
1790035432.599198,0.0,0.0,-0.0001861217640057,-0.0047348116040167,0.0,0.0,0,0
1790035432.6981575,0.0,0.0,-0.0002635192916936,-0.0067156604651792,0.0,0.0,0,0
1790035432.7975323,0.0,0.0,-0.0003547661639692,-0.0090391880850219,0.0,0.0,0,0
1790035432.8974228,0.0,0.0,-0.0004600498322643,-0.0117120974627923,0.0,0.0,0,0
1790035432.9957087,0.0,0.0,-0.0005789517415347,-0.0147244654897469,0.0,0.0,0,0
1790035433.0974338,0.0,0.0,-0.0007146139242474,-0.0181575089781936,0.0,0.0,0,0
1790035433.1963477,0.0,0.0,-0.0008615286974234,-0.0218704499964989,0.0,0.0,0,0
1790035433.295617,0.0,0.0,-0.0010221088568227,-0.0259264101681118,0.0,0.0,0,0
1790035433.40024,0.0,0.0,-0.0011984800724886,-0.0303749156997549,0.0,0.0,0,0
1790035433.4995625,0.0,0.0,-0.001396214015351,-0.0353486431252261,0.0,0.0,0,0
1790035433.598822,0.0,0.0,-0.0016005149149855,-0.0404692595547581,0.0,0.0,0,0
1790035433.6979833,0.0,0.0,-0.0018198121948319,-0.0459420715372176,0.0,0.0,0,0
1790035433.7988985,0.0,0.0,-0.0020590690131877,-0.0518897728951046,0.0,0.0,0,0
1790035433.898349,0.0,0.0,-0.0023044625578724,-0.0579661526927528,0.0,0.0,0,0
1790035433.996941,0.0,0.0,-0.0025668666918797,-0.0644379325704728,0.0,0.0,0,0
1790035434.0962863,0.0,0.0,-0.0028457440667841,-0.0712928739188188,0.0,0.0,0,0
1790035434.195239,0.0,0.0,-0.0031383704726073,-0.0784704648171953,0.0,0.0,0,0
1790035434.3000722,0.0,0.0,-0.0034486911043029,-0.0860759948106358,0.0,0.0,0,0
1790035434.3992906,0.0,0.0,-0.0037847836053022,-0.0943081734311982,0.0,0.0,0,0
1790035434.498427,0.0,0.0,-0.0041214105172729,-0.1025474156507298,0.0,0.0,0,0
1790035434.597648,0.0,0.0,-0.00447249702667,-0.1111368291038268,0.0,0.0,0,0
1790035434.6968205,0.0,0.0,-0.0048366753578478,-0.1200453346127278,0.0,0.0,0,0
1790035434.796811,0.0,0.0,-0.0052194656302437,-0.1294095872890128,0.0,0.0,0,0
1790035434.8968103,0.0,0.0,-0.0056120364920274,-0.1390168362357717,0.0,0.0,0,0
1790035434.995073,0.0,0.0,-0.006018767846059,-0.1489731834806393,0.0,0.0,0,0
1790035435.0999095,0.0,0.0,-0.0064625926739536,-0.1598417729023052,0.0,0.0,0,0
1790035435.198967,0.0,0.0,-0.0068979866874078,-0.170509759718748,0.0,0.0,0,0
1790035435.2982757,0.0,0.0,-0.0073462647649668,-0.1815018428907404,0.0,0.0,0,0
1790035435.3974457,0.0,0.0,-0.0078081838340774,-0.1928371942678816,0.0,0.0,0,0
1790035435.496662,0.0,0.0,-0.0082852460142853,-0.2045527313214372,0.0,0.0,0,0
1790035435.5958047,0.0,0.0,-0.0087753418570473,-0.2166004013887938,0.0,0.0,0,0
1790035435.7004757,0.0,0.0,-0.0092806708891971,-0.2290369738223096,0.0,0.0,0,0
